rxcui,name,synonym,tty,language,suppress,umlscui,psn
1860129,Abuse-Deterrent 12 HR oxycodone hydrochloride 20 MG Extended Release Oral Tablet,"oxycodone HCl 20 MG 12 HR Extended Release Oral Tablet, Abuse-Deterrent",SCD,ENG,N,,
1860137,Abuse-Deterrent 12 HR oxycodone hydrochloride 40 MG Extended Release Oral Tablet,"oxycodone HCl 40 MG 12 HR Extended Release Oral Tablet, Abuse-Deterrent",SCD,ENG,N,,
1860148,Abuse-Deterrent 12 HR oxycodone hydrochloride 80 MG Extended Release Oral Tablet,"oxycodone HCl 80 MG 12 HR Extended Release Oral Tablet, Abuse-Deterrent",SCD,ENG,N,,
1860151,Abuse-Deterrent 12 HR oxycodone hydrochloride 30 MG Extended Release Oral Tablet,"oxycodone HCl 30 MG 12 HR Extended Release Oral Tablet, Abuse-Deterrent",SCD,ENG,N,,
1860154,Abuse-Deterrent 12 HR oxycodone hydrochloride 15 MG Extended Release Oral Tablet,"oxycodone HCl 15 MG 12 HR Extended Release Oral Tablet, Abuse-Deterrent",SCD,ENG,N,,
1860157,Abuse-Deterrent 12 HR oxycodone hydrochloride 10 MG Extended Release Oral Tablet,"oxycodone HCl 10 MG 12 HR Extended Release Oral Tablet, Abuse-Deterrent",SCD,ENG,N,,
1944529,Abuse-Deterrent oxycodone hydrochloride 15 MG Oral Tablet,"oxycodone hydrochloride 15 MG (equivalent to oxycodone 13.4 MG) Oral Tablet, Abuse-Deterrent",SCD,ENG,N,,
1944538,Abuse-Deterrent oxycodone hydrochloride 30 MG Oral Tablet,"oxycodone hydrochloride 30 MG (equivalent to oxycodone 26.9 MG) Oral Tablet, Abuse-Deterrent",SCD,ENG,N,,
1944541,Abuse-Deterrent oxycodone hydrochloride 5 MG Oral Tablet,"oxycodone hydrochloride 5 MG (equivalent to oxycodone 4.5 MG) Oral Tablet, Abuse-Deterrent",SCD,ENG,N,,
2105822,acetaminophen 60 MG/ML / oxycodone hydrochloride 2 MG/ML Oral Solution,oxycodone HCl 2 MG/ML / acetaminophen 60 MG/ML Oral Solution,SCD,ENG,N,,
2693194,Abuse-Deterrent oxycodone hydrochloride 10 MG Oral Tablet,"oxycodone hydrochloride 10 MG (equivalent to oxycodone 9 MG) Oral Tablet, Abuse-Deterrent",SCD,ENG,N,,
637540,aspirin 325 MG / oxycodone hydrochloride 4.5 MG / oxycodone terephthalate 0.38 MG Oral Tablet,ASA 325 MG / Oxycodone Hydrochloride 4.5 MG / oxycodone terephthalate 0.38 MG Oral Tablet,SCD,ENG,N,,
724614,aspirin 325 MG / oxycodone hydrochloride 2.25 MG / oxycodone terephthalate 0.19 MG Oral Tablet,ASA 325 MG / Oxycodone Hydrochloride 2.25 MG / oxycodone terephthalate 0.19 MG Oral Tablet,SCD,ENG,N,,
848768,aspirin 325 MG / oxycodone hydrochloride 4.84 MG Oral Tablet,ASA 325 MG / oxycodone hydrochloride 4.84 MG Oral Tablet,SCD,ENG,N,,
